IUCR_Code,IUCR_cat,HOURLYTemp,ID-count
9,THEFT,94,45
9,THEFT,95,11
10,MOTOR VEHICLE THEFT,-10,4
10,MOTOR VEHICLE THEFT,-9,3
10,MOTOR VEHICLE THEFT,-8,2
10,MOTOR VEHICLE THEFT,-7,18
10,MOTOR VEHICLE THEFT,-6,17
10,MOTOR VEHICLE THEFT,-5,17
10,MOTOR VEHICLE THEFT,-4,17
10,MOTOR VEHICLE THEFT,-3,25
10,MOTOR VEHICLE THEFT,-2,51
10,MOTOR VEHICLE THEFT,-1,48
10,MOTOR VEHICLE THEFT,0,52
10,MOTOR VEHICLE THEFT,1,89
10,MOTOR VEHICLE THEFT,2,101
10,MOTOR VEHICLE THEFT,3,118
10,MOTOR VEHICLE THEFT,4,131
10,MOTOR VEHICLE THEFT,5,106
10,MOTOR VEHICLE THEFT,6,99
10,MOTOR VEHICLE THEFT,7,114
10,MOTOR VEHICLE THEFT,8,78
10,MOTOR VEHICLE THEFT,9,78
10,MOTOR VEHICLE THEFT,10,124
10,MOTOR VEHICLE THEFT,11,121
10,MOTOR VEHICLE THEFT,12,126
10,MOTOR VEHICLE THEFT,13,144
10,MOTOR VEHICLE THEFT,14,158
10,MOTOR VEHICLE THEFT,15,144
10,MOTOR VEHICLE THEFT,16,173
10,MOTOR VEHICLE THEFT,17,193
10,MOTOR VEHICLE THEFT,18,182
10,MOTOR VEHICLE THEFT,19,273
10,MOTOR VEHICLE THEFT,20,221
10,MOTOR VEHICLE THEFT,21,213
10,MOTOR VEHICLE THEFT,22,198
10,MOTOR VEHICLE THEFT,23,248
10,MOTOR VEHICLE THEFT,24,291
10,MOTOR VEHICLE THEFT,25,290
10,MOTOR VEHICLE THEFT,26,345
10,MOTOR VEHICLE THEFT,27,372
10,MOTOR VEHICLE THEFT,28,372
10,MOTOR VEHICLE THEFT,29,426
10,MOTOR VEHICLE THEFT,30,465
10,MOTOR VEHICLE THEFT,31,523
10,MOTOR VEHICLE THEFT,32,649
10,MOTOR VEHICLE THEFT,33,558
10,MOTOR VEHICLE THEFT,34,618
