d_date,IUCR_Code,ID-count,Bin1-sum,Bin2-sum,Bin3-sum,Bin4-sum,Bin5-sum
1/17/2016,4,138,138,0,0,0,0
1/17/2016,6,29,29,0,0,0,0
1/17/2016,8,22,22,0,0,0,0
1/17/2016,9,97,97,0,0,0,0
1/17/2016,10,27,27,0,0,0,0
1/17/2016,11,3,3,0,0,0,0
1/17/2016,13,31,31,0,0,0,0
1/17/2016,14,74,74,0,0,0,0
1/17/2016,15,4,4,0,0,0,0
1/17/2016,16,1,1,0,0,0,0
1/17/2016,17,1,1,0,0,0,0
1/17/2016,19,6,6,0,0,0,0
1/17/2016,20,26,26,0,0,0,0
1/17/2016,21,3,3,0,0,0,0
1/17/2016,22,43,43,0,0,0,0
1/17/2017,1,2,0,2,0,0,0
1/17/2017,2,6,0,6,0,0,0
1/17/2017,3,30,0,30,0,0,0
1/17/2017,4,90,0,90,0,0,0
1/17/2017,6,52,0,52,0,0,0
1/17/2017,7,1,0,1,0,0,0
1/17/2017,8,42,0,42,0,0,0
1/17/2017,9,186,0,186,0,0,0
1/17/2017,10,28,0,28,0,0,0
1/17/2017,13,58,0,58,0,0,0
1/17/2017,14,104,0,104,0,0,0
1/17/2017,15,10,0,10,0,0,0
1/17/2017,16,7,0,7,0,0,0
1/17/2017,17,1,0,1,0,0,0
1/17/2017,19,4,0,4,0,0,0
1/17/2017,20,31,0,31,0,0,0
1/17/2017,22,48,0,48,0,0,0
1/17/2018,2,7,6,1,0,0,0
1/17/2018,3,19,19,0,0,0,0
1/17/2018,4,118,100,18,0,0,0
1/17/2018,6,43,34,9,0,0,0
1/17/2018,7,1,1,0,0,0,0
1/17/2018,8,34,30,4,0,0,0
1/17/2018,9,146,131,15,0,0,0
1/17/2018,10,37,34,3,0,0,0
1/17/2018,11,1,1,0,0,0,0
1/17/2018,13,42,38,4,0,0,0
1/17/2018,14,75,66,9,0,0,0
1/17/2018,15,15,15,0,0,0,0
1/17/2018,17,3,3,0,0,0,0
1/17/2018,19,12,9,3,0,0,0
1/17/2018,20,36,32,4,0,0,0
1/17/2018,21,2,1,1,0,0,0
1/17/2018,22,47,41,6,0,0,0
1/18/2015,1,1,0,1,0,0,0
1/18/2015,2,2,0,2,0,0,0
1/18/2015,3,28,0,27,1,0,0
1/18/2015,4,138,0,128,10,0,0
1/18/2015,6,52,0,48,4,0,0
1/18/2015,8,32,0,29,3,0,0
1/18/2015,9,156,0,149,7,0,0
1/18/2015,10,25,0,25,0,0,0
1/18/2015,13,19,0,17,2,0,0
1/18/2015,14,111,0,108,3,0,0
1/18/2015,15,6,0,6,0,0,0
1/18/2015,16,4,0,4,0,0,0
1/18/2015,17,2,0,2,0,0,0
1/18/2015,18,1,0,1,0,0,0
1/18/2015,19,6,0,6,0,0,0
1/18/2015,20,57,0,53,4,0,0
1/18/2015,21,1,0,1,0,0,0
1/18/2015,22,53,0,51,2,0,0
1/18/2016,2,1,1,0,0,0,0
1/18/2016,3,26,26,0,0,0,0
1/18/2016,4,79,79,0,0,0,0
1/18/2016,6,32,32,0,0,0,0
1/18/2016,8,18,18,0,0,0,0
1/18/2016,9,114,114,0,0,0,0
1/18/2016,10,38,38,0,0,0,0
1/18/2016,11,1,1,0,0,0,0
1/18/2016,13,33,33,0,0,0,0
1/18/2016,14,81,81,0,0,0,0
1/18/2016,15,4,4,0,0,0,0
1/18/2016,19,2,2,0,0,0,0
1/18/2016,20,35,35,0,0,0,0
1/18/2016,22,47,47,0,0,0,0
1/18/2017,1,4,0,4,0,0,0
1/18/2017,2,3,0,3,0,0,0
1/18/2017,3,28,0,28,0,0,0
1/18/2017,4,100,0,100,0,0,0
1/18/2017,6,47,0,47,0,0,0
1/18/2017,8,66,0,66,0,0,0
1/18/2017,9,166,0,166,0,0,0
1/18/2017,10,42,0,42,0,0,0
1/18/2017,13,61,0,61,0,0,0
1/18/2017,14,87,0,87,0,0,0
1/18/2017,15,14,0,14,0,0,0
1/18/2017,16,2,0,2,0,0,0
1/18/2017,17,1,0,1,0,0,0
1/18/2017,19,4,0,4,0,0,0
1/18/2017,20,24,0,24,0,0,0
1/18/2017,21,1,0,1,0,0,0
1/18/2017,22,55,0,55,0,0,0
1/18/2018,1,2,2,0,0,0,0
1/18/2018,2,1,0,1,0,0,0
1/18/2018,3,22,2,20,0,0,0
